Name,Ingredients
ลาบทอด ," หมู 300 กรัม \n ผงลาป 2ครึ่ง ชต \n น้ำปลา 1 ชต. \n มะนาว 1 เซี่ยว \n เวฟ 1 นาที \n ทอด 50 วิ"
ลาบ ,"หมู 300 กรัม \n น้ำตาล 1 ชต. \n น้ำปลา 2 ชต \n มะนาว 4 ชต. \n ผงไก่ 1/2 ชต. \n msg 1/2 ชต. \n พริกป่น 1 ชต. \n ผงลาป 1 ชต."
น้ำตก+ยำมาม่า,"msg ปลายช้อนโต๊ \n น้ำตาล 1/2 ชต. \n น้ำปลา 1/2 ชต. \n น้ำปลา 2 ชต. \n มะนาว 2 ชต. \n น้ำมันหอย 1/2 ชต.(ยำไม่ใส่)"
ต้มยำ,"พริก 1 ชต. ตะไคร้ ใบมะกรูด \n พริกแกงต้มยำ 1ครึ่ง ชต. \n พริกเผา 1 ชต. \n msg 1/2 ชต. \n มะนาว 2 ซีก \n นมข้ม 1 กระบวยเย็นตาโฟ"
ไก่น้ำผึ้ง,"ไก่ 1 กิโล \n รากผักชี 2 กระเทียม 3 กลีบ พริกไทยดำ 10 กรัม ปั่น \n น้ำผึ้ง 40 กรัม \n หอย 30 กรัม \n ฝาเขียว 30 กรัม \n น้ำมันงา 8 กรัม \n เกลือ 2.5 กรัม \n ผงกระหรี่ 5 กรัม \n หมักข้ามคืน"
เตี๋ยวเรือ,"เครื่องเทศ \n กระเทียม 50 กรัม \n เนื้อเต้าหู้ยี้ 75 กรัม \n เต้าเจี้ยว 60 กรัม \n กระเทียมดอง ไม่เอาก้าน 30 กรัม \n น้ำกระเทียมดอง 60 กรัม \n น้ำเปล่า 200 กรัม \n น้ำเดือด 6 ลิตร \n อบเชย(ท่อนไม้) 3-4 ท่อน โป๊ยกั๊ก(ดาว) 4-5 อัน \n ใส่เครื่องเทศที่ปั่นไว้ \n ใส่ใบเตย 1-2 ใบ \n ใส่น้ำตาลปีบ 100 กรัม \n ใส่น้ำตาลกรวด 90 กรัม \n ใส่ฝาเขียว 60 กรัม \n ใส่ซีอิ้วขาว 60 กรัม \n ใส่ซอสหอยนางรม 170 กรัม \n ใส่ซีอิ้วดำ 90 กรัม \n ใส่เกลือ 30 กรัม (ถ้าทำเสร็จทุกขั้นตอนแล้ว อ่อนเค็มค่อยใส่เพิ่ม) \n ผงชูรส 1 ช้อนโต๊ะ + ผงฟ้าไทย 30 กรัม "
หมูนุ่ม,"หมู 1 กก. \n ไข่ไก่ 1 ฟอง \n แป้งข้าวโพด 30 กรัม \n หอย 45 กรัม \n อิ๊วขาว 30 \n น้ำตาล 30 กรัม \n น้ำมัน 30 กรัม \n เบกกิ้งโซดา 3 กรัม \n หมัก 2 ชม."
น้ำส้มพริกดอง,"พริกขี้หนู 50 กรัม \n ข่า 50 กรัม \n กระเทียม 50 กรัม \n คั่วให้หอม ใส่เครื่องปั่น \n เกลือ 2 ช้อนชา \n น้ำส้มสายชู 100 กรัม"
ซอสปรุงรสก๋วยเตี๋ยว,"น้ำตาลทราย 2 ส่วน \n สายชู 2 ส่วน \n น้ำปลา 2 ส่วน \n น้ำส้มพริกดอง 2 ส่วน \n พริกคั่ว 1 ส่วน"
กุ้ยช่าย,"อิ๊วดำ 550 ml \n น้ำส้มสายชู 100 ml \n น้ำตาล 30 g"
เนื้อย่าง+คอหมู,"น้ำตาลปิ๊ป 200 ก. \n ฝาเขียว 120 ก. \n น้ำมันหอย 120 ก.\n ผงไก่ 1 ชต."
ต้มแซ่บ,"ผงไก่ 1 ครึ่งชต. \n น้ำปลา 1 ชต. \n พริก 1/2 ชต. \n ข้าวคั่ว 2 ชต."
น้ำตกหมู,"น้ำตาล 1/2 ชต. \n น้ำปลา 2 ชต. \n มะนาว 3 ชต. \n น้ำมันหอย 1 ชต."
